URL,Size,OutLinks,ContentType
http://www.latimes.com/business/hiltzik/la-fi-hiltzik-auto-emissions-20170213-story.html,259044,89,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-john-larroquette-venice-home-20170217-story.html,227849,68,text/html
http://www.latimes.com/business/la-fi-euro-disney-20170210-story.html,236354,78,text/html
http://www.latimes.com/business/la-fi-live-updates-snap-ipo-snapchat-company-sets-ipo-targets-1487256694-htmlstory.html,156390,45,text/html
http://www.latimes.com/business/la-fi-live-updates-snap-ipo-2017-htmlstory.html,249053,80,text/html
http://www.latimes.com/business/la-fi-live-updates-snap-ipo-how-much-money-snap-s-existing-1487274904-htmlstory.html,157103,44,text/html
http://www.latimes.com/business/la-fi-yellen-fed-republicans-20170215-story.html,239095,85,text/html
http://www.latimes.com/business/lazarus/la-fi-lazarus-valentines-day-20170214-story.html,237337,85,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-jetpack-ban-20170215-story.html,183822,63,text/html
http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-gun-20170216-story.html,127210,63,text/html
http://www.latimes.com/sports/la-sp-irvine-huira-20170215-story.html,234429,71,text/html
http://www.latimes.com/socal/daily-pilot/entertainment/,225417,72,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-fvsuspects-20170217-story.html,183916,57,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-cm-budget-20170215-story.html,150156,66,text/html
http://www.latimes.com/socal/glendale-news-press/news/tn-gnp-me-adu-20170217-story.html,179247,61,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-rohrabacher-20170215-story.html,183609,67,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-hbcrash-20170215-story.html,143817,58,text/html
http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-bond-20170217-story.html,180289,62,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-robbery-20170217-story.html,144405,59,text/html
http://www.latimes.com/socal/glendale-news-press/news/tn-gnp-me-cvtc-210-20170217-story.html,180858,62,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-pacific-symphony-schedule-20170216-story.html,184895,70,text/html
http://www.latimes.com/local/popular/,143546,62,text/html
http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-grocery-outlet-20170217-story.html,217153,62,text/html
http://www.latimes.com/socal/daily-pilot/entertainment/tn-wknd-et-0219-ann-hampton-callaway-20170218-story.html,188581,64,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-thompson-plea-20170216-story.html,183417,65,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-0217-lb-microbrewery-20170216-story.html,146830,64,text/html
http://www.latimes.com/sdhoy-disney-sets-opening-date-for-guardians-of-the-galaxy-attraction-at-california-adventure-20170215-story.html,196791,67,text/html
http://www.latimes.com/socal/glendale-news-press/sports/tn-gnp-crescenta-valley-girls-basketball-falls-to-st-anthony-in-first-round-20170216-story.html,119858,56,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-alarcon-plea-20170218-story.html,117394,54,text/html
http://www.latimes.com/socal/burbank-leader/news/,249333,120,text/html
http://www.latimes.com/socal/daily-pilot/news/,292929,116,text/html
http://www.latimes.com/socal/burbank-leader/sports/tn-blr-sports-roundup-burroughs-girls-basketball-burbank-girls-soccer-fall-in-first-round-20170216-story.html,118440,53,text/html
http://www.latimes.com/socal/burbank-leader/opinion/,154361,72,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-wintersburg-20170217-story.html,223832,65,text/html
http://www.latimes.com/socal/glendale-news-press/news/tn-gnp-me-charter-20170217-story.html,127681,69,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-fairmont-sold-20170216-story.html,184147,69,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-hisashi-iwakuma-newport-beach-20170215-story.html,227651,72,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-storm-20170215-story.html,182826,64,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-seal-beach-council-20170215-story.html,145056,60,text/html
http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-council-springer-20170217-story.html,189673,63,text/html
http://www.latimes.com/socal/glendale-news-press/sports/tn-gnp-flintridge-prep-boys-basketball-comes-up-short-in-upset-bid-of-blair-20170217-story.html,120006,56,text/html
http://www.latimes.com/socal/glendale-news-press/sports/,209519,73,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-occ-student-20170215-story.html,210611,78,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-0219-lb-buffett-house-20170218-story.html,182736,63,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-fppc-complaint-20170216-story.html,188834,64,text/html
http://www.latimes.com/socal/glendale-news-press/news/tn-gnp-me-robbery-20170217-story.html,123997,61,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-genis-commission-20170217-story.html,184604,66,text/html
http://www.latimes.com/socal/daily-pilot/entertainment/tn-wknd-et-0219-ayn-rand-institute-20170218-story.html,199597,61,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-0217-heroes-hall-20170216-story.html,219331,58,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-mordaunt-plea-20170216-story.html,180067,58,text/html
http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-measure-h-20170217-story.html,186845,63,text/html
http://www.latimes.com/socal/burbank-leader/sports/,176511,78,text/html
http://www.latimes.com/newsletters/la-me-ln-essential-california-20170218-story.html,187248,71,text/html
http://www.latimes.com/socal/daily-pilot/entertainment/tn-wknd-et-house-of-blues-20170218-story.html,205907,66,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-newport-study-session-20170215-story.html,189072,66,text/html
http://www.latimes.com/newsletters/la-me-ln-essential-california-20170217-story.html,242753,90,text/html
http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-shark-advisory-20170215-story.html,144760,59,text/html
http://www.latimes.com/socal/glendale-news-press/news/,226949,107,text/html
http://www.latimes.com/entertainment/music/92273783-157.html,158872,40,text/html
http://www.latimes.com/entertainment/music/92546628-157.html,159718,40,text/html
http://www.latimes.com/entertainment/music/la-et-ms-acm-keith-urban-20170216-story.html,220300,56,text/html
http://www.latimes.com/entertainment/music/la-et-adele-grammys-charts-20170215-story.html,219705,57,text/html
http://www.latimes.com/local/obituaries/la-et-ms-al-jarreau-dead-20170212-story.html,230537,63,text/html
http://www.latimes.com/entertainment/music/la-et-ms-desert-trip-week-two-live-20161014-photogallery.html,189147,45,text/html
http://www.latimes.com/entertainment/music/91103539-157.html,159029,40,text/html
http://www.latimes.com/entertainment/music/la-et-ms-grammy-awards-sales-bump-20170214-story.html,230582,56,text/html
http://www.latimes.com/local/lanow/la-me-ln-alanis-jewels-burglars-20170214-story.html,240416,78,text/html
http://www.latimes.com/entertainment/music/la-et-ms-country-hall-benefit-pg-photogallery.html,185979,41,text/html
http://www.latimes.com/entertainment/music/posts/87044113-157.html,159626,41,text/html
http://www.latimes.com/entertainment/music/posts/la-et-ms-adam-levine-ceremony-20170210-story.html,229266,64,text/html
http://www.latimes.com/entertainment/music/la-et-ms-terrace-martin-20170208-story.html,237859,60,text/html
http://www.latimes.com/entertainment/music/la-et-ms-katy-perry-chained-to-the-rhythm-20170210-story.html,214633,59,text/html
http://www.latimes.com/entertainment/la-et-ms-2017-grammy-nominations-live-updates-20161205-htmlstory.html,257037,115,text/html
